id;uid;code;created;updated;description;startdate;startperiod;targetsource;status;deleted;deletedat;activityid;organisationunitid;assignedteamid
1;Gorgeous Gr;calculating withdrawal and;2022-11-20T00:10:01;2022-11-20T07:16:03;Concrete South infomediaries;2022-11-20;P9;ACTIVITY;COMPLETED;false;2022-11-20T06:52:24;1;1;1
2;panel Pakis;Oklahoma Sleek Frozen;2022-11-20T04:03:00;2022-11-20T18:37:11;Nepal Swiss;2022-11-20;P3;DEMOGRAPHIC;REVIEWED;true;2022-11-20T13:55:14;2;2;2
3;compressing;hack;2022-11-20T14:09:35;2022-11-20T03:14:44;transmitting hacking Analyst;2022-11-20;P10;NONE;ACTIVE;false;2022-11-20T20:32:34;3;3;3
4;Lead knowle;Bedfordshire;2022-11-20T14:21:23;2022-11-20T19:27:27;Communications FTP;2022-11-20;P8;NONE;APPROVED;true;2022-11-20T14:15:56;4;4;4
5;Ergonomic;coherent Tasty;2022-11-19T22:56:53;2022-11-20T18:28:57;synthesize Steel;2022-11-20;P8;ACTIVITY;VISITED;true;2022-11-20T14:11:32;5;5;5
6;Money repur;channels teal;2022-11-20T17:11:04;2022-11-20T19:15:37;Health Oval;2022-11-20;P6;ACTIVITY;CANCELLED;false;2022-11-20T19:55:54;6;6;6
7;Delaware;web-enabled;2022-11-20T00:28:47;2022-11-20T14:10:21;Ouguiya (the USB;2022-11-20;P9;DEMOGRAPHIC;SCHEDULE;true;2022-11-20T09:19:04;7;7;7
8;SSL withdra;Bedfordshire Grocery Handmade;2022-11-20T03:40:32;2022-11-20T05:48:52;Configuration;2022-11-20;P9;ACTIVITY;REVIEWED;false;2022-11-19T22:45:03;8;8;8
9;PCI;Secured Baby empower;2022-11-20T03:12:41;2022-11-19T23:15:15;program holistic Card;2022-11-20;P7;DEMOGRAPHIC;ACTIVE;true;2022-11-20T01:29:32;9;9;9
10;Account Riv;Soft bypass;2022-11-20T09:42:27;2022-11-20T11:24:12;neural;2022-11-20;P4;DEMOGRAPHIC;ACTIVE;true;2022-11-20T08:07:21;10;10;10
