id;value;storedby;created;updated;comment;followup;deleted;audittype;dataelementid
1;Utah Kids Dynamic;Account Human;2022-11-20T20:00:51;2022-11-19T21:39:08;content;true;true;READ;1
2;communities Home Swaziland;Bolivia;2022-11-20T14:00:04;2022-11-20T09:58:56;concept;false;false;DELETE;2
3;District heuristic;Kwacha Latvian open-source;2022-11-20T01:40:52;2022-11-20T08:15:25;focus Implementation Rufiyaa;true;true;UPDATE;3
4;Handcrafted;Account impactful Incredible;2022-11-20T18:57:11;2022-11-20T18:01:25;quantify solution;false;true;CREATE;4
5;PNG Metal deploy;Coordinator;2022-11-20T10:47:07;2022-11-20T03:54:58;Indonesia;false;false;SEARCH;5
6;wireless;transmit scalable;2022-11-20T10:03:14;2022-11-20T20:35:48;Card index;false;true;UPDATE;6
7;deploy transmitting paradigms;Sausages Tools Tunnel;2022-11-20T10:52:59;2022-11-20T02:11:44;connect Alabama;true;true;UPDATE;7
8;Rubber;deposit;2022-11-20T03:03:59;2022-11-20T19:35:31;Granite;false;false;UPDATE;8
9;Bike navigating COM;navigating;2022-11-19T23:27:08;2022-11-20T00:01:40;payment;false;true;UPDATE;9
10;bluetooth;Fantastic Shoes connect;2022-11-20T08:44:22;2022-11-20T15:27:10;Movies Bulgaria;true;false;DELETE;10
