id;uid;code;created;updated;date;level;total_population;male_population;female_population;less_than_5_population;greater_than_5_population;bw_5_and_15_population;greater_than_15_population;households;houses;health_facilities;avg_no_of_rooms;avg_room_area;avg_house_area;individuals_per_household;population_growth_rate;comment;organisationunitid;sourceid
1;California ;Franc;2022-11-20T02:14:31;2022-11-20T19:27:16;2022-11-20;SUBVILLAGE_LEVEL;50986;93098;39726;77778;53505;18198;36043;93198;45609;58091;10025;24102;73950;123;78059;Fresh;1;1
2;panel;Investment;2022-11-20T07:47:06;2022-11-20T09:40:18;2022-11-19;DISTRICT_LEVEL;81355;73728;46597;75913;8646;39652;3676;66181;4973;21267;91337;8733;5749;9849;82390;empower;2;2
3;holistic Ba;Bedfordshire;2022-11-20T12:57:52;2022-11-20T16:29:06;2022-11-20;SUBVILLAGE_LEVEL;56999;85454;7749;1577;98233;48324;38333;28782;56512;87090;15288;19197;10059;27670;727;olive Ruble backing;3;3
4;Plastic par;THX;2022-11-20T19:36:11;2022-11-20T07:53:59;2022-11-19;DISTRICT_LEVEL;10969;71959;98617;26008;60486;56406;176;17281;23711;98660;58352;57673;41148;67153;72020;District;4;4
5;state bus;Investment violet withdrawal;2022-11-19T22:06:03;2022-11-20T01:19:29;2022-11-20;SUBVILLAGE_LEVEL;99630;12251;36246;57326;97952;18373;41268;66781;10543;62902;38991;6449;17347;80931;39956;calculate Small;5;5
6;Officer;defect demand-driven Riyal;2022-11-19T22:11:00;2022-11-20T06:06:34;2022-11-20;SUBVILLAGE_LEVEL;61380;62726;44644;9296;35609;87550;5814;20673;35449;20194;17935;33811;24218;29823;61068;invoice Implemented Cambridgeshire;6;6
7;Mississippi;Account;2022-11-20T06:13:08;2022-11-20T18:09:13;2022-11-20;DISTRICT_LEVEL;83209;95874;20767;34776;63792;15743;21212;40030;55125;46685;22724;42498;55078;20730;29470;Sheqel;7;7
8;Games deliv;Principal;2022-11-20T20:23:35;2022-11-20T11:39:28;2022-11-20;DISTRICT_LEVEL;95273;73006;3718;25342;74158;55246;1311;92050;52526;97105;28415;52898;31893;31203;10439;challenge;8;8
9;next-genera;solid to Handcrafted;2022-11-20T02:47:24;2022-11-20T19:44:12;2022-11-20;SUBVILLAGE_LEVEL;98189;3838;8734;26917;53936;74687;37276;72154;72872;3813;15892;61894;88989;38536;71672;SMS Valley;9;9
10;Function-ba;withdrawal;2022-11-20T08:31:43;2022-11-20T17:03:00;2022-11-20;DISTRICT_LEVEL;32703;95472;22077;65981;78277;85571;32922;77748;54041;24159;39600;24785;85656;34993;53006;Security Michigan Books;10;10
