id,uid,code,created,updated,description,startdate,startperiod,targetsource,status,activityid,organisationunitid,assignedteamid
11,Assign11,AssignCode11,2022-10-17T20:21:34,2022-10-18T03:27:36,Assignment description 11,2022-10-18,P1,ACTIVITY,SCHEDULE,12,11,11
12,Assign12,AssignCode12,2022-10-18T00:14:33,2022-10-18T14:48:44,Assignment description 12,2022-10-18,P1,ACTIVITY,SCHEDULE,12,12,12
13,Assign13,AssignCode13,2022-10-18T10:21:08,2022-10-17T23:26:17,Assignment description 13,2022-10-18,P2,ACTIVITY,SCHEDULE,12,13,11
14,Assign14,AssignCode14,2022-10-18T10:32:56,2022-10-18T15:39:00,Assignment description 14,2022-10-18,P2,ACTIVITY,SCHEDULE,12,14,11
15,Assign15,AssignCode15,2022-10-17T19:08:26,2022-10-18T14:40:30,Assignment description 15,2022-10-18,P3,ACTIVITY,SCHEDULE,12,15,11
16,Assign16,AssignCode16,2022-10-18T13:22:37,2022-10-18T15:27:10,Assignment description 16,2022-10-18,P3,ACTIVITY,SCHEDULE,12,16,12
17,Assign17,AssignCode17,2022-10-17T20:40:20,2022-10-18T10:21:54,Assignment description 17,2022-10-18,P4,ACTIVITY,SCHEDULE,12,17,12
18,Assign18,AssignCode18,2022-10-17T23:52:05,2022-10-18T02:00:25,Assignment description 18,2022-10-18,P4,ACTIVITY,SCHEDULE,12,18,12
19,Assign19,AssignCode19,2022-10-17T23:24:14,2022-10-17T19:26:48,Assignment description 19,2022-10-18,P5,ACTIVITY,SCHEDULE,12,19,11
20,Assign20,AssignCode20,2022-10-18T05:54:00,2022-10-18T07:35:45,Assignment description 20,2022-10-18,P5,ACTIVITY,SCHEDULE,12,20,12
