id,uid,code,created,updated,name,description,valuetype
11,DE_UID_11,FIRST_NAME,2022-10-18T10:44:22,2022-10-18T10:44:22,First Name,First Name,TEXT
12,DE_UID_12,SECOND_NAME,2022-10-17T21:25:12,2022-10-17T21:25:12,Second Name,Second Name,TEXT
13,DE_UID_13,THIRD_NAME,2022-10-18T10:44:22,2022-10-18T10:44:22,Third Name,Third Name,TEXT
14,DE_UID_14,SURNAME,2022-10-17T21:25:12,2022-10-17T21:25:12,Surname,Surname,TEXT
15,DE_UID_15,POP_M,2022-10-18T10:44:22,2022-10-18T10:44:22,Population Male,Population Male,INTEGER_ZERO_OR_POSITIVE
16,DE_UID_16,POP_F,2022-10-17T21:25:12,2022-10-17T21:25:12,Population Female,Population Female,INTEGER_ZERO_OR_POSITIVE
17,DE_UID_17,L5_M,2022-10-18T10:44:22,2022-10-18T10:44:22,Less than 5 Male,Less than 5 Male,INTEGER_ZERO_OR_POSITIVE
18,DE_UID_18,L5_F,2022-10-17T21:25:12,2022-10-17T21:25:12,Less than 5 Female,Less than 5 Female,INTEGER_ZERO_OR_POSITIVE
19,DE_UID_19,P_WMN,2022-10-18T10:44:22,2022-10-18T10:44:22,Pregnant Women,Pregnant Women,INTEGER_ZERO_OR_POSITIVE
20,DE_UID_20,B_Nets,2022-10-17T21:25:12,2022-10-17T21:25:12,Bed Nets,Bed Nets,INTEGER_POSITIVE
21,DE_UID_21,AGE,2022-10-18T10:44:22,2022-10-18T10:44:22,Age,Age,INTEGER_POSITIVE
22,DE_UID_22,Qty,2022-10-17T21:25:12,2022-10-17T21:25:12,Quantity,Quantity,INTEGER_ZERO_OR_POSITIVE
23,DE_UID_23,Stck_typ,2022-10-18T10:44:22,2022-10-18T10:44:22,Drugs Type,Drugs Type,STOCK_ITEM
24,DE_UID_24,TeamCode,2022-10-17T21:25:12,2022-10-17T21:25:12,Team,Team,TEAM
25,DE_UID_25,orgUnit_code,2022-10-18T10:44:22,2022-10-18T10:44:22,Organisation Unit,Organisation Unit,ORGANISATION_UNIT
26,DE_UID_26,ImageCode,2022-10-17T21:25:12,2022-10-17T21:25:12,Finger print,Finger print,IMAGE
27,DE_UID_27,CHV_CODE,2022-10-17T21:25:12,2022-10-17T21:25:12,Chv,Chv,CHV
28,DE_UID_28,WH_INITIAL_PLANNED,2022-10-17T21:25:12,2022-10-17T21:25:12,WH initial balance (Planned),WH initial balance (Planned),INTEGER_ZERO_OR_POSITIVE
29,DE_UID_29,WH_INITIAL_ACTUAL,2022-10-17T21:25:12,2022-10-17T21:25:12,WH initial balance (Actual),WH initial balance (Actual),INTEGER_ZERO_OR_POSITIVE
30,DE_UID_30,WH_CODE,2022-10-17T21:25:12,2022-10-17T21:25:12,Warehouse,Warehouse,WH
31,DE_UID_31,MOVEMENT_TYPE,2022-10-17T21:25:12,2022-10-17T21:25:12,Movement Type (IN=true/OUT=false),Movement Type (IN=false/OUT=true),BOOLEAN
32,DE_UID_32,GENDER,2022-10-17T21:25:12,2022-10-17T21:25:12,Gender,Gender,TEXT
33,DE_UID_33,PREGNANT,2022-10-17T21:25:12,2022-10-17T21:25:12,Is Female Pregnant?,Is Female Pregnant?,BOOLEAN
34,DE_UID_34,M_TEST_RESULT,2022-10-17T21:25:12,2022-10-17T21:25:12,Malaria Test Result,Malaria Test Result,TEXT
35,DE_UID_35,MALARIA_COMPLICATION_SEVERE,2022-10-17T21:25:12,2022-10-17T21:25:12,Malaria Complication is Severe?,Malaria Complication is Severe?,BOOLEAN
36,DE_UID_36,REFERRAL,2022-10-17T21:25:12,2022-10-17T21:25:12,Referral?,Referral?,BOOLEAN
