id,uid,uuid,created,updated,createdatclient,lastupdatedatclient,lastsynchronized,incidentdate,enrollmentdate,periodlabel,enddate,status,deleted,deletedat,completeddate,trackedentityinstanceid,programid,organisationunitid,activityid
11,P_INST_1,fd1116d8-be37-4fd5-a3b1-2350ecaaca56,2022-10-17T20:16:50,2022-10-18T14:49:24,2022-10-18T12:18:30,2022-10-17T19:33:26,2022-10-18T02:57:20,2022-10-17T22:07:32,2022-10-17T19:48:36,P1,2022-10-18T10:56:38,REVIEWED,FALSE,2022-10-18T01:55:08,2022-10-18T09:06:09,11,11,11,11
12,P_INST_2,e212228e-a8bd-4825-b2e5-45948f19dbd4,2022-10-18T02:10:45,2022-10-18T11:41:03,2022-10-18T08:54:21,2022-10-18T01:02:35,2022-10-17T18:36:52,2022-10-18T08:24:14,2022-10-17T20:27:42,P2,2022-10-18T05:05:28,SKIPPED,FALSE,2022-10-18T15:27:28,2022-10-18T06:40:37,12,11,11,11
13,P_INST_3,98333743-dc52-459f-be03-1ecb195821c0,2022-10-18T02:09:31,2022-10-17T17:06:46,2022-10-18T10:51:08,2022-10-18T11:28:27,2022-10-18T11:50:16,2022-10-17T18:14:42,2022-10-18T08:19:37,P1,2022-10-18T04:52:06,SCHEDULE,FALSE,2022-10-18T12:08:18,2022-10-18T10:11:19,13,11,11,11
14,P_INST_4,ed62314f-f544-43eb-b282-4bf4c53a8efb,2022-10-18T11:41:05,2022-10-18T01:04:14,2022-10-18T05:46:41,2022-10-18T08:25:09,2022-10-17T22:16:14,2022-10-18T07:32:35,2022-10-18T00:29:07,P2,2022-10-18T01:00:59,SKIPPED,FALSE,2022-10-18T11:59:18,2022-10-17T20:19:14,14,11,12,11
15,P_INST_5,bca1233f-0669-4b04-8a98-6f4d323e0ec1,2022-10-17T17:13:38,2022-10-18T16:24:14,2022-10-18T12:12:37,2022-10-18T15:43:13,2022-10-17T16:52:26,2022-10-18T08:16:22,2022-10-18T09:30:51,P3,2022-10-18T00:35:22,SCHEDULE,TRUE,2022-10-18T15:39:22,2022-10-18T13:37:00,15,11,12,11
16,P_INST_6,c4033330-db64-472e-bb0f-fb6c69ce8a57,2022-10-17T18:04:35,2022-10-18T04:28:41,2022-10-18T04:57:54,2022-10-18T04:59:53,2022-10-18T00:23:23,2022-10-18T13:26:58,2022-10-18T06:34:53,P1,2022-10-18T02:23:59,CANCELLED,FALSE,2022-10-18T02:19:34,2022-10-18T16:32:16,16,11,12,11
17,P_INST_7,f4112347-120d-42b9-bf4e-636c8043656c,2022-10-17T21:33:06,2022-10-18T12:37:31,2022-10-18T00:15:04,2022-10-18T15:40:36,2022-10-18T15:36:50,2022-10-18T13:49:53,2022-10-17T21:49:47,P5,2022-10-18T14:49:22,ACTIVE,TRUE,2022-10-18T02:35:13,2022-10-17T23:49:36,17,11,13,11
18,P_INST_8,4ce33312-9c5d-42bf-bb2d-2578b9f8002c,2022-10-18T15:16:55,2022-10-18T00:49:23,2022-10-17T23:31:06,2022-10-17T21:33:10,2022-10-18T03:22:13,2022-10-17T23:52:27,2022-10-18T03:18:07,P4,2022-10-17T23:33:48,ACTIVE,TRUE,2022-10-17T23:19:18,2022-10-17T20:19:15,18,11,13,11
19,P_INST_9,498883d3-b30f-4fea-abcb-aa973fbe5471,2022-10-18T08:00:16,2022-10-17T18:08:28,2022-10-17T22:26:22,2022-10-17T23:18:27,2022-10-18T11:23:46,2022-10-17T20:12:41,2022-10-17T19:01:04,P6,2022-10-18T04:04:44,CANCELLED,TRUE,2022-10-18T12:13:58,2022-10-18T13:59:03,19,11,14,11
20,P_INST_10,b2644470-298f-4dfe-a033-c25b4530dfb7,2022-10-17T21:18:34,2022-10-18T05:15:22,2022-10-17T17:40:31,2022-10-18T05:36:16,2022-10-17T19:04:48,2022-10-18T08:38:58,2022-10-18T16:32:36,P1,2022-10-18T07:49:12,CANCELLED,FALSE,2022-10-18T04:19:23,2022-10-17T20:11:35,20,11,14,11
