id,uid,code,created,updated,compulsory,allowprovidedelsewhere,sortorder,displayinreports,allowfuturedate,skipsynchronization,defaultvalue,programstageid,dataelementid
11,PSTADE11,PSTADE11,2022-10-18T02:23:38,2022-10-18T16:41:45,FALSE,TRUE,1,TRUE,TRUE,FALSE,0,11,15
12,PSTADE12,PSTADE12,2022-10-18T07:29:37,2022-10-17T17:05:54,FALSE,TRUE,2,TRUE,TRUE,FALSE,0,11,16
13,PSTADE13,PSTADE13,2022-10-18T13:12:18,2022-10-18T14:46:13,FALSE,TRUE,3,TRUE,TRUE,FALSE,0,11,17
14,PSTADE14,PSTADE14,2022-10-17T18:31:46,2022-10-17T21:34:35,FALSE,TRUE,4,TRUE,TRUE,FALSE,0,11,18
15,PSTADE15,PSTADE15,2022-10-17T20:02:54,2022-10-18T00:59:45,FALSE,TRUE,5,TRUE,TRUE,FALSE,0,11,19
16,PSTADE16,PSTADE16,2022-10-18T12:28:33,2022-10-18T11:14:27,FALSE,TRUE,6,TRUE,TRUE,FALSE,0,11,20
17,PSTADE17,PSTADE17,2022-10-18T10:08:09,2022-10-18T16:26:30,FALSE,TRUE,7,TRUE,TRUE,FALSE,0,12,24
18,PSTADE18,PSTADE18,2022-10-18T03:48:08,2022-10-17T22:57:35,FALSE,TRUE,8,TRUE,TRUE,FALSE,0,12,22
19,PSTADE19,PSTADE19,2022-10-18T02:23:38,2022-10-18T16:41:45,FALSE,TRUE,9,TRUE,TRUE,FALSE,0,12,31
20,PSTADE20,PSTADE20,2022-10-18T07:29:37,2022-10-17T17:05:54,FALSE,TRUE,10,TRUE,TRUE,FALSE,0,13,23
21,PSTADE21,PSTADE21,2022-10-18T13:12:18,2022-10-18T14:46:13,FALSE,TRUE,11,TRUE,TRUE,FALSE,0,13,22
22,PSTADE22,PSTADE22,2022-10-17T18:31:46,2022-10-17T21:34:35,FALSE,TRUE,12,TRUE,TRUE,FALSE,0,14,23
23,PSTADE23,PSTADE23,2022-10-17T20:02:54,2022-10-18T00:59:45,FALSE,TRUE,13,TRUE,TRUE,FALSE,0,14,22
24,PSTADE24,PSTADE24,2022-10-18T12:28:33,2022-10-18T11:14:27,FALSE,TRUE,14,TRUE,TRUE,FALSE,0,14,27
25,PSTADE25,PSTADE25,2022-10-18T10:08:09,2022-10-18T16:26:30,FALSE,TRUE,15,TRUE,TRUE,FALSE,0,13,32
26,PSTADE26,PSTADE26,2022-10-18T03:48:08,2022-10-17T22:57:35,FALSE,TRUE,16,TRUE,TRUE,FALSE,0,13,33
27,PSTADE27,PSTADE27,2022-10-18T01:40:07,2022-10-18T14:44:50,FALSE,TRUE,17,TRUE,TRUE,FALSE,0,13,34
28,PSTADE28,PSTADE28,2022-10-17T21:25:09,2022-10-17T18:21:37,FALSE,TRUE,18,TRUE,TRUE,FALSE,0,13,35
29,PSTADE29,PSTADE29,2022-10-17T21:25:09,2022-10-17T18:21:37,FALSE,TRUE,19,TRUE,TRUE,FALSE,0,13,36
