id,uid,uuid,code,created,updated,createdatclient,lastupdatedatclient,lastsynchronized,duedate,executiondate,status,deleted,deletedat,completeddate,programinstanceid,programstageid,organisationunitid,activityid
11,P_ST_INST1,04059991-64e0-40ae-abc1-84bd47d92931,PROG_ST_INS11,2022-10-18T14:40:02,2022-10-17T21:35:38,2022-10-18T01:50:52,2022-10-18T11:47:34,2022-10-17T18:48:51,2022-10-18T06:36:08,2022-10-17T21:26:58,COMPLETED,FALSE,2022-10-18T01:23:47,2022-10-18T08:30:29,11,11,11,11
12,P_ST_INST2,079998e6-1cca-4685-a602-f961d36fed25,PROG_ST_INS12,2022-10-18T16:50:55,2022-10-18T14:01:01,2022-10-18T03:29:58,2022-10-18T07:46:35,2022-10-18T09:37:40,2022-10-18T13:53:17,2022-10-18T09:04:11,COMPLETED,TRUE,2022-10-17T18:33:06,2022-10-17T22:05:42,12,11,11,11
13,P_ST_INST3,fb7a9997-ccc3-45a2-9c74-c1f1065c08f7,PROG_ST_INS13,2022-10-18T11:44:43,2022-10-18T06:47:00,2022-10-18T03:09:22,2022-10-17T20:10:27,2022-10-18T04:46:37,2022-10-17T23:14:15,2022-10-18T01:10:49,COMPLETED,TRUE,2022-10-18T03:04:53,2022-10-18T05:40:17,13,11,11,11
14,P_ST_INST4,5068886e-4ac7-4245-9303-1976681d5ed1,PROG_ST_INS14,2022-10-18T10:55:37,2022-10-18T00:48:16,2022-10-18T00:42:04,2022-10-18T09:04:01,2022-10-17T22:29:39,2022-10-18T02:49:32,2022-10-18T13:20:03,COMPLETED,FALSE,2022-10-18T07:21:15,2022-10-17T17:34:39,14,11,12,11
15,P_ST_INST5,a6388849-7eff-4d58-b5bb-96bd01f48c47,PROG_ST_INS15,2022-10-18T03:38:37,2022-10-18T09:29:38,2022-10-18T08:56:12,2022-10-17T19:45:43,2022-10-18T04:43:01,2022-10-18T05:06:41,2022-10-17T21:42:50,COMPLETED,TRUE,2022-10-17T18:43:28,2022-10-18T04:21:49,15,11,12,11
16,P_ST_INST6,21978888-bcef-4078-98c8-7e45f863633a,PROG_ST_INS16,2022-10-18T11:35:42,2022-10-18T10:51:42,2022-10-17T17:58:47,2022-10-17T20:16:33,2022-10-17T17:59:21,2022-10-18T03:55:28,2022-10-18T13:17:37,COMPLETED,TRUE,2022-10-17T18:09:16,2022-10-17T23:40:40,16,11,12,11
17,P_ST_INST7,df3888d9-6e1d-4c86-a19d-99c65c6672ad,PROG_ST_INS17,2022-10-18T12:22:04,2022-10-18T11:27:57,2022-10-17T22:32:50,2022-10-18T11:18:48,2022-10-17T19:35:01,2022-10-18T12:48:06,2022-10-17T20:34:25,COMPLETED,TRUE,2022-10-18T13:03:05,2022-10-18T09:35:59,17,11,13,11
18,P_ST_INST8,03888f42-81fa-4290-b246-41ece725573c,PROG_ST_INS18,2022-10-17T23:18:36,2022-10-18T03:06:06,2022-10-18T09:54:06,2022-10-18T14:37:22,2022-10-18T02:20:14,2022-10-18T12:53:04,2022-10-18T05:50:53,COMPLETED,TRUE,2022-10-18T06:17:23,2022-10-18T10:35:33,18,11,13,11
19,P_ST_INST9,ec60e999-e574-4414-a089-cb7e2b4039a9,PROG_ST_INS19,2022-10-17T19:23:33,2022-10-18T13:31:35,2022-10-18T06:22:16,2022-10-18T14:02:18,2022-10-18T15:20:22,2022-10-18T03:32:57,2022-10-18T00:19:54,COMPLETED,FALSE,2022-10-17T22:45:18,2022-10-17T19:41:06,19,11,14,11
20,P_ST_INST10,1c388867-c813-4018-9d53-aed04ebc454a,PROG_ST_INS20,2022-10-18T05:48:37,2022-10-18T11:56:40,2022-10-18T12:12:29,2022-10-18T12:41:28,2022-10-18T13:28:02,2022-10-18T10:18:16,2022-10-18T06:40:01,COMPLETED,FALSE,2022-10-18T08:01:55,2022-10-18T00:14:59,20,11,14,11
