id,uid,uuid,code,created,updated,createdatclient,lastupdatedatclient,inactive,deleted,lastsynchronized,featuretype,coordinates,potentialduplicate,storedby,organisationunitid,trackedentitytypeid
11,TEIUID1,2345e1c4-6d90-4279-8dd0-8f9b34ad82a3,TE_Inst_code1,2022-10-18T04:25:42,2022-10-18T06:50:08,2022-10-18T02:58:27,2022-10-17T23:14:48,FALSE,FALSE,2022-10-17T19:18:24,POINT,Tools,FALSE,user4,11,11
12,TEIUID2,aeda567a-bbd5-445d-84b6-18f5b7be930e,TE_Inst_code2,2022-10-17T23:53:02,2022-10-18T04:41:12,2022-10-18T00:54:42,2022-10-17T22:16:23,FALSE,FALSE,2022-10-18T12:24:04,POINT,Refined white,FALSE,user4,11,11
13,TEIUID3,38252222-a918-4525-b258-e98043dbd55e,TE_Inst_code3,2022-10-18T01:52:48,2022-10-18T08:55:09,2022-10-18T04:53:19,2022-10-18T09:39:07,FALSE,FALSE,2022-10-17T19:51:07,POINT,SMS Granite Global,FALSE,user4,11,11
14,TEIUID4,e673a52c-833c-45f3-aa32-6ebd5ed13679,TE_Inst_code4,2022-10-18T01:13:40,2022-10-17T20:55:12,2022-10-18T06:58:16,2022-10-18T03:58:43,FALSE,FALSE,2022-10-18T08:15:20,POINT,Electronics Universal,FALSE,user4,12,11
15,TEIUID5,acd34506-ab40-4035-b2cd-03a8d3270b18,TE_Inst_code5,2022-10-18T10:25:04,2022-10-17T23:07:58,2022-10-18T14:05:11,2022-10-18T06:58:40,FALSE,FALSE,2022-10-18T03:53:23,POINT,Plains,FALSE,user4,12,11
16,TEIUID6,c89028fd-33f0-454a-b2e3-78a818b6ee9f,TE_Inst_code6,2022-10-18T01:32:20,2022-10-18T01:53:52,2022-10-18T06:01:10,2022-10-18T07:29:36,FALSE,FALSE,2022-10-17T21:56:47,POINT,black Mall,FALSE,user4,12,11
17,TEIUID7,526123ca-8676-46c7-ae57-cf5bd3b9cc4e,TE_Inst_code7,2022-10-18T07:02:56,2022-10-17T17:15:04,2022-10-17T23:59:34,2022-10-17T18:33:36,FALSE,FALSE,2022-10-18T16:35:22,POINT,bricks-and-clicks,FALSE,user4,13,11
18,TEIUID8,f32138ee-e96c-4183-b9f3-cc4087563de9,TE_Inst_code8,2022-10-18T11:33:36,2022-10-18T00:32:56,2022-10-17T17:37:36,2022-10-18T13:08:49,FALSE,FALSE,2022-10-17T23:30:06,POINT,Steel,FALSE,user4,13,11
19,TEIUID9,89a878cf-e913-4df7-a938-7354dac9d9d2,TE_Inst_code9,2022-10-18T12:49:13,2022-10-18T14:59:40,2022-10-18T02:24:25,2022-10-18T00:03:24,FALSE,FALSE,2022-10-17T17:40:17,POINT,functionalities Plastic,FALSE,user4,14,11
20,TEIUID10,3488893e-f4d0-4905-9bd3-2fa1677d8f4d,TE_Inst_code10,2022-10-17T20:42:21,2022-10-18T13:53:10,2022-10-18T03:51:17,2022-10-17T17:11:52,FALSE,FALSE,2022-10-18T04:04:36,POINT,turquoise Timor-Leste online,FALSE,user4,14,11
