userroleid,authorities
11,ROLE_ADMIN
11,ROLE_USER
11,ALL
12,ROLE_USER
12,APPROVE_CHVSTOCKMOVEMENT
12,APPROVE_CHVMALARIACASE
12,VIEW_CHVMALARIACASE
12,VIEW_CHVSTOCKMOVEMENT
13,VIEW_CHVMALARIACASE
13,CREATE_CHVMALARIACASE
13,DELETE_CHVMALARIACASE
13,ALL_CHVSTOCKMOVEMENT
13,VIEW_CHVSTOCKMOVEMENT
13,CREATE_CHVSTOCKMOVEMENT
13,DELETE_CHVSTOCKMOVEMENT
14,ROLE_USER
14,CREATE_BNET
14,DELETE_BNET
14,VIEW_BNET
14,ALL_BNET_STOCKMOVEMENT
14,APPROVE_BNET
14,VIEW_BNET
15,ROLE_USER
15,VIEW_USERS
15,VIEW_CHVMALARIACASE
15,VIEW_CHVSTOCKMOVEMENT
16,ALL_BNET_STOCKMOVEMENT
16,F_PROGRAM_PRIVATE_ADD
16,VIEW_BNET
