id;uid;code;name;created;updated;valuetype;version
1;Jersey;Georgia brand parse;Monitored Fresh;2022-11-20T12:43:04;2022-11-20T06:27:02;LETTER;43542
2;Diverse bac;Delaware disintermediate circuit;Account seamless AGP;2022-11-20T20:10:19;2022-11-20T03:31:19;COORDINATE;97494
3;Flats withd;value-added;Optional;2022-11-20T15:43:09;2022-11-19T21:59:10;STOCK_ITEM;79148
4;Gateway Sav;Creative Walks;Dollar;2022-11-19T23:15:13;2022-11-20T12:18:44;FILE_RESOURCE;87579
5;withdrawal ;input;generating Wooden;2022-11-20T17:35:12;2022-11-20T09:32:40;LETTER;47753
6;Pants servi;granular;Movies tangible;2022-11-20T14:10:15;2022-11-20T19:02:01;STOCK_ITEM;6173
7;Gorgeous;invoice;programming Granite Architect;2022-11-20T00:05:35;2022-11-20T05:38:58;COORDINATE;6785
8;Organized B;Avon;incremental;2022-11-20T15:24:23;2022-11-20T03:44:07;LETTER;93042
9;Soap;Table ADP;HTTP proactive;2022-11-19T23:56:14;2022-11-20T11:04:05;TIME;83153
10;grey Cambri;applications New;application;2022-11-20T04:05:18;2022-11-20T15:05:53;STOCK_ITEM;22981
