id;uid;code;name;shortname;created;updated;path;hierarchylevel;openingdate;comment;closeddate;url;contactperson;address;email;phonenumber;organisationunittype;inactive
1;Concrete;AGP program Kids;ivory;innovative;2022-11-19T20:47:10;2022-11-20T02:13:24;applications Executive;50983;2022-11-20;background;2022-11-20;https://faustino.name;Avon copying Wyoming;mobile;Abdul87@gmail.com;primary Kids state;SUB_VILLAGE;true
2;FTP Mauriti;Trafficway Soft;Keyboard Soft Assistant;Mongolia reciprocal;2022-11-20T12:58:08;2022-11-19T20:49:57;3rd Licensed Brand;68181;2022-11-20;Cotton deposit Tasty;2022-11-20;http://emelia.biz;vortals Consultant quantifying;Savings Home Public-key;Chauncey18@yahoo.com;Bike Austria;SUB_VILLAGE;false
3;red;HDD;Synchronised Cambridgeshire;project intermediate;2022-11-20T01:22:55;2022-11-20T11:24:20;mobile Streamlined;57388;2022-11-20;Handmade feed Future;2022-11-20;http://kameron.info;Slovenia overriding Pennsylvania;Pants Vision-oriented iterate;Davonte.Balistreri@yahoo.com;Regional teal Dinar;VILLAGE;true
4;Account ope;Rhode PCI Incredible;withdrawal;Usability;2022-11-20T00:10:37;2022-11-20T01:11:59;definition Health;34476;2022-11-20;Berkshire Borders viral;2022-11-20;http://israel.info;Baby;action-items Peso;Johathan_Stark@hotmail.com;online Granite transmitting;COUNTRY;true
5;Barthelemy ;pixel;algorithm Account payment;interfaces success;2022-11-20T12:44:45;2022-11-19T22:51:47;Keys XSS JBOD;20043;2022-11-20;Accounts green Soft;2022-11-20;http://ima.name;Common;back Granite Liaison;Chase.Weissnat12@yahoo.com;optical;SUB_VILLAGE;false
6;Frozen capa;Licensed transform;payment;Territory Corporate;2022-11-19T21:19:26;2022-11-20T02:01:25;Branding Colombian;4940;2022-11-20;XSS Checking;2022-11-20;https://zella.net;Fresh;auxiliary Integrated violet;Cristopher93@hotmail.com;Luxembourg Producer;COUNTRY;true
7;Ameliorated;Bedfordshire Beauty;copying;Plastic;2022-11-20T05:45:48;2022-11-20T11:50:08;optimal;71680;2022-11-20;calculating hack Multi-channelled;2022-11-20;http://orlo.com;bandwidth;lavender Account Facilitator;Ray.Ondricka@gmail.com;Configuration Awesome;GOV;true
8;explicit Ga;Account Trail;Handcrafted;Investment;2022-11-20T01:07:46;2022-11-20T10:56:50;Missouri;12402;2022-11-19;Dollar firewall orange;2022-11-20;https://yessenia.info;lime;hub;Scarlett_Hegmann@yahoo.com;Towels open-source Brand;DISTRICT;true
9;overriding ;Hills Account;Central Computers human-resource;synthesizing grey Mouse;2022-11-20T04:13:11;2022-11-20T19:45:35;withdrawal viral calculate;97574;2022-11-20;Awesome logistical ubiquitous;2022-11-20;http://leonel.org;world-class Granite Run;Associate;Teresa.McLaughlin@gmail.com;Buckinghamshire Ball;VILLAGE;true
10;info-mediar;Steel Louisiana;Plastic;extend;2022-11-20T05:49:39;2022-11-20T10:00:14;monitor Garden bypass;8529;2022-11-20;Investor;2022-11-20;https://kenneth.net;Brand Producer;Fantastic Forges;Nikita.Wuckert@hotmail.com;array;DISTRICT;false
