id;uid;code;name;shortname;created;updated;symbol;color;inactive
1;Shilling ex;24/7 Data navigating;Cloned Iraq;Gloves;2022-11-19T23:58:08;2022-11-20T02:35:42;invoice;purple;true
2;violet;parsing firewall payment;Shoes port Identity;Chicken Developer;2022-11-20T05:29:52;2022-11-20T16:25:30;invoice leverage;purple;false
3;help-desk c;Dynamic synergies;systems;neural e-markets disintermediate;2022-11-20T04:43:26;2022-11-20T20:37:18;channels;grey;true
4;didactic Ve;cross-platform;input hierarchy transmitting;Mozambique;2022-11-20T13:34:13;2022-11-20T00:57:53;Lead;azure;false
5;e-services;Hat Keyboard cyan;Senior Knolls;Executive Customer card;2022-11-20T11:59:24;2022-11-20T11:16:08;alliance communities Horizontal;tan;true
6;invoice;Forward;haptic;client-server fresh-thinking Proactive;2022-11-20T15:39:07;2022-11-20T10:26:54;Beauty Serbia South;silver;true
7;Computers A;efficient green;Incredible Books wireless;bluetooth tan;2022-11-19T22:47:07;2022-11-20T05:00:41;Handcrafted Account;blue;false
8;Facilitator;Ville neutral Pound;Quality;Hawaii Granite Forge;2022-11-20T17:03:30;2022-11-19T21:13:57;Drive Berkshire;tan;true
9;Fresh eco-c;indigo;Health;Cyprus calculate Shores;2022-11-20T11:43:53;2022-11-20T08:44:12;real-time SCSI;teal;true
10;Application;Plains migration European;Money;Nebraska calculating;2022-11-20T12:22:07;2022-11-20T19:49:32;Computers Kip Shoes;salmon;true
