id;uid;code;name;created;updated;compulsory;includeSubhierarchyInAnalytics;inactive
1;infrastruct;Bedfordshire Awesome SMTP;open-source;2022-11-20T13:08:59;2022-11-19T22:47:03;true;true;true
2;Cambridgesh;compressing Plastic Sports;Handcrafted Paradigm strategic;2022-11-19T22:35:18;2022-11-20T01:00:08;true;false;false
3;Guinea;New;input;2022-11-20T13:28:37;2022-11-20T09:23:59;true;true;false
4;Hungary man;Serbia Refined portal;Facilitator California;2022-11-19T23:11:14;2022-11-20T07:16:34;false;false;true
5;bus Beauty;modular Plastic;synthesize Communications;2022-11-19T22:16:55;2022-11-20T05:08:46;false;true;true
6;firewall Gr;Graphic Soft;payment Global;2022-11-20T02:41:42;2022-11-20T06:16:36;false;true;true
7;synthesize;communities;redefine;2022-11-20T14:50:34;2022-11-20T06:54:31;true;true;false
8;Shirt Pines;Tactics;plug-and-play Technician Namibia;2022-11-20T18:09:04;2022-11-20T11:41:42;false;false;false
9;bandwidth B;generate;Fresh;2022-11-20T04:29:07;2022-11-19T20:59:33;false;false;true
10;neutral Acc;Cambridgeshire;card Rustic Ball;2022-11-20T18:04:08;2022-11-20T09:39:22;true;false;true
