id;uid;code;created;updated;compulsory;allowprovidedelsewhere;sortorder;displayinreports;allowfuturedate;skipsynchronization;defaultvalue;programstageid;dataelementid
1;Lake Health;Fantastic;2022-11-20T06:12:05;2022-11-20T20:30:12;false;false;43445;false;false;true;National SCSI Optimization;1;1
2;Cocos;value-added;2022-11-20T11:18:04;2022-11-19T20:54:21;true;false;18333;false;true;false;productize seamless;2;2
3;Buckinghams;payment calculate;2022-11-20T17:00:45;2022-11-20T18:34:40;true;true;68381;false;false;true;Pizza;3;3
4;neural Wash;bypassing;2022-11-19T22:20:13;2022-11-20T01:23:02;false;false;55782;true;true;false;Concrete;4;4
5;Gorgeous;Brunei Oregon solutions;2022-11-19T23:51:21;2022-11-20T04:48:12;true;true;58200;false;false;false;generating Ball;5;5
6;index Sausa;Shoes Tokelau Incredible;2022-11-20T16:17:00;2022-11-20T15:02:54;true;true;32809;true;false;false;Burkina methodical withdrawal;6;6
7;invoice sta;IB;2022-11-20T13:56:36;2022-11-20T20:14:57;false;true;69763;true;true;false;Granite SMTP;7;7
8;withdrawal ;Principal bandwidth;2022-11-20T07:36:35;2022-11-20T02:46:02;false;true;55585;true;true;true;web channels set;8;8
9;EXE Account;seize sexy;2022-11-20T05:28:34;2022-11-20T18:33:17;false;true;80123;false;false;true;Wisconsin;9;9
10;user-facing;transmit Trail;2022-11-20T01:13:36;2022-11-19T22:10:04;true;true;8065;false;false;false;synthesizing Supervisor;10;10
