id;uid;uuid;code;created;updated;createdatclient;lastupdatedatclient;lastsynchronized;duedate;executiondate;status;storedby;completedby;completeddate;deleted;deletedat;programstageid
1;Automated;852164e0-0ae6-4bc1-84bd-47d929315ea7;panel;2022-11-20T01:24:05;2022-11-20T05:39:19;2022-11-20T15:36:01;2022-11-19T22:37:18;2022-11-20T10:24:35;2022-11-20T01:15:25;2022-11-20T19:20:58;VISITED;clicks-and-mortar THX;Regional neural;2022-11-20T11:24:29;true;2022-11-20T13:00:57;1
2;implement O;6fed2561-98ab-4f70-8186-4153eecfb7a7;Berkshire transmit;2022-11-20T11:45:59;2022-11-20T05:38:49;2022-11-20T16:56:39;2022-11-20T18:51:22;2022-11-20T01:32:48;2022-11-20T09:57:49;2022-11-20T14:29:59;APPROVED;Executive;impactful Minor;2022-11-20T20:16:54;true;2022-11-20T04:24:40;2
3;violet XML;a9f97506-bc76-4e4a-8724-5d3031976681;customized Small bandwidth;2022-11-20T04:36:43;2022-11-20T04:30:31;2022-11-20T12:52:28;2022-11-20T02:18:06;2022-11-20T06:37:59;2022-11-20T17:08:30;2022-11-20T07:23:03;VISITED;Technician yellow;middleware Usability PCI;2022-11-19T20:48:33;false;2022-11-20T04:04:59;3
4;Maryland TC;c4700258-45e8-47c0-be82-1979448bcef0;Bedfordshire generate;2022-11-19T22:24:05;2022-11-20T13:48:17;2022-11-20T12:59:21;2022-11-19T21:47:57;2022-11-20T08:29:14;2022-11-20T11:08:47;2022-11-20T15:14:54;SCHEDULE;Programmable;Ergonomic;2022-11-20T14:40:09;true;2022-11-20T00:05:00;4
5;Cameroon Ac;659d96e1-dc86-4e19-999c-65c6672ad467;teal Team-oriented;2022-11-20T00:22:52;2022-11-20T05:58:23;2022-11-20T02:30:33;2022-11-20T16:51:32;2022-11-20T13:24:26;2022-11-20T19:50:29;2022-11-20T15:06:02;COMPLETED;Palladium Towels;Peso Industrial fault-tolerant;2022-11-20T18:16:21;true;2022-11-20T01:15:33;5
6;Avon web-en;4cb94192-75c7-44ec-a0e8-72e574414e08;wireless Corporate;2022-11-20T14:39:47;2022-11-20T20:09:24;2022-11-20T16:10:06;2022-11-20T05:49:45;2022-11-20T05:23:35;2022-11-20T06:46:44;2022-11-20T13:46:34;APPROVED;Vermont infrastructures;Uzbekistan program;2022-11-20T02:07:47;false;2022-11-19T22:01:39;6
7;24/365;c8130185-d53a-4ed0-8ebc-454aed546e30;Italy Falls;2022-11-20T16:29:55;2022-11-20T17:16:29;2022-11-20T14:06:43;2022-11-20T10:28:28;2022-11-20T12:49:00;2022-11-20T16:57:49;2022-11-20T11:50:22;CANCELLED;Assistant Associate;Creative;2022-11-20T02:06:43;true;2022-11-20T19:20:47;7
8;US Palladiu;0a772230-77db-4b35-9032-e4cfd054b906;XML;2022-11-20T10:44:57;2022-11-20T15:43:53;2022-11-20T03:05:18;2022-11-20T00:34:00;2022-11-20T05:06:55;2022-11-20T00:28:20;2022-11-20T18:18:55;SCHEDULE;tan alarm Colorado;Indian bypassing;2022-11-19T23:16:26;true;2022-11-20T08:52:44;8
9;generating ;e9fca111-242f-427f-98e9-9159f4341b3c;mobile black circuit;2022-11-20T14:30:47;2022-11-20T08:42:27;2022-11-20T09:40:20;2022-11-20T18:39:01;2022-11-20T13:14:33;2022-11-20T04:19:52;2022-11-20T06:46:55;OVERDUE;Montserrat;Idaho silver synthesizing;2022-11-20T07:09:21;false;2022-11-20T00:17:46;9
10;virtual Bul;1127d669-938e-4914-bab4-f7d9c3de987d;eyeballs metrics Money;2022-11-20T03:12:30;2022-11-20T16:00:56;2022-11-20T00:33:33;2022-11-20T12:52:00;2022-11-19T23:27:00;2022-11-20T03:48:04;2022-11-20T08:10:24;APPROVED;24/7 Analyst;implementation;2022-11-19T23:06:56;false;2022-11-20T01:12:00;10
