id;reason;created;accessedby;programid;trackedentityinstanceid
1;Supervisor;2022-11-19T20:50:59;quantify initiatives Accountability;1;1
2;neural;2022-11-20T18:17:46;copy;2;2
3;Computer Virginia;2022-11-20T12:37:59;Uganda monitoring Shoes;3;3
4;Integration iterate Beauty;2022-11-20T12:04:35;capacitor customized Focused;4;4
5;synergistic navigating auxiliary;2022-11-19T22:21:45;calculate;5;5
6;Steel;2022-11-20T10:26:39;Intelligent;6;6
7;virtual;2022-11-20T13:08:08;withdrawal invoice;7;7
8;Re-contextualized;2022-11-20T10:45:27;Sleek niches incremental;8;8
9;capacitor;2022-11-20T03:25:06;Centralized;9;9
10;Director Clothing;2022-11-20T17:04:56;quantifying;10;10
