id;uid;code;created;updated;displayinlist;sortorder;mandatory;allowfuturedate;searchable;defaultvalue;programid;trackedentityattributeid
1;1080p;plum;2022-11-20T06:36:58;2022-11-19T22:11:54;false;33275;true;false;false;HDD;1;1
2;Concrete;copy;2022-11-20T19:53:00;2022-11-20T14:11:33;false;73419;true;false;false;Group;2;2
3;calculating;experiences portals;2022-11-20T03:06:17;2022-11-20T07:40:08;true;10728;false;false;true;integrated heuristic override;3;3
4;New index f;violet;2022-11-20T14:19:13;2022-11-20T03:28:33;true;51250;true;false;false;protocol Awesome help-desk;4;4
5;Concrete gr;pink dynamic;2022-11-20T19:55:05;2022-11-20T13:19:40;true;26681;false;true;true;whiteboard;5;5
6;Chief;Pizza;2022-11-20T00:56:46;2022-11-19T23:28:57;true;48170;true;false;false;Soft;6;6
7;Account Web;card Convertible bus;2022-11-20T07:52:52;2022-11-20T07:16:41;false;7828;false;true;false;system-worthy leverage program;7;7
8;Car;Plastic;2022-11-20T10:53:20;2022-11-20T12:19:47;false;47681;false;true;false;initiative Rustic Cape;8;8
9;Kwacha;Steel;2022-11-20T20:04:28;2022-11-20T08:52:26;false;43845;true;false;false;Digitized Via National;9;9
10;Bike Ball;bypassing;2022-11-20T02:51:06;2022-11-20T01:40:41;false;63171;false;true;true;Handcrafted Dollar;10;10
