id;this_day;yesterday;last_3_days;last_7_days;last_14_days;this_month;last_month;this_bimonth;last_bimonth;this_quarter;last_quarter;this_six_month;last_six_month;weeks_this_year;months_this_year;bi_months_this_year;quarters_this_year;this_year;months_last_year;quarters_last_year;last_year;last_5_years;last_12_months;last_6_months;last_3_months;last_6_bi_months;last_4_quarters;last_2_six_months;this_financial_year;last_financial_year;last_5_financial_years;this_week;last_week;this_bi_week;last_bi_week;last_4_weeks;last_4_bi_weeks;last_12_weeks;last_52_weeks
1;false;true;false;false;true;true;true;true;false;true;false;false;false;true;false;false;true;false;false;true;true;true;true;false;false;false;false;true;false;false;false;false;true;false;true;false;true;false;false
2;true;false;false;true;false;false;false;true;true;false;true;true;true;true;true;true;false;false;false;true;false;true;false;true;true;false;false;true;false;false;false;false;true;true;true;true;true;true;true
3;false;false;false;false;true;false;true;true;true;true;false;true;true;false;false;false;true;false;true;false;false;true;true;true;true;true;false;true;false;false;false;true;false;false;true;false;true;false;false
4;false;true;true;true;true;false;false;false;true;false;true;true;true;true;false;true;false;false;true;false;true;false;false;false;true;false;false;true;false;false;true;false;true;true;true;true;true;false;true
5;true;true;false;false;true;false;false;true;false;true;true;false;false;false;true;false;true;true;true;true;false;true;false;true;false;false;true;true;true;false;true;false;true;true;true;false;true;true;false
6;false;true;false;false;true;true;false;false;true;false;true;false;false;false;false;true;false;true;true;true;false;false;false;false;true;false;true;false;false;true;false;false;false;true;false;true;false;true;false
7;true;true;false;false;false;false;false;false;true;false;false;true;true;true;false;true;true;false;false;false;false;true;true;true;true;true;true;false;false;true;true;false;false;true;false;true;true;false;false
8;true;false;false;true;true;true;false;true;true;true;false;true;true;false;true;false;false;true;false;false;true;true;false;true;true;true;false;false;true;false;true;true;false;false;true;false;false;true;true
9;false;false;true;true;true;true;true;false;true;true;false;true;true;false;false;true;true;false;false;true;false;false;true;false;true;true;false;true;true;true;true;false;false;true;true;false;false;true;true
10;true;true;true;true;false;false;false;true;false;true;true;false;true;true;false;false;true;false;true;true;false;true;true;true;true;false;false;false;false;false;false;false;false;false;false;true;false;true;false
