id;uid;code;name;shortname;description;created;updated;inactive
1;bluetooth;Customer;Pants Philippine;zero South Rufiyaa;Future Sharable;2022-11-20T03:09:11;2022-11-19T23:19:07;false
2;markets orc;copying;bus tan;Organized Infrastructure;Investor array Profound;2022-11-20T01:04:56;2022-11-19T23:42:54;true
3;Path Techni;Loan;Indonesia card Passage;program Malaysian Sausages;Money AI;2022-11-20T06:46:58;2022-11-20T11:27:39;true
4;Plastic;Rustic JSON Ways;supply-chains Granite Taka;Unbranded Borders 1080p;ADP visualize;2022-11-20T00:22:38;2022-11-19T23:26:10;false
5;synthesize ;brand online ivory;Auto Home Inverse;Czech;deposit;2022-11-20T16:51:34;2022-11-20T19:24:00;false
6;Sharable Op;up;Kids Configuration parallelism;Analyst Roads Afghanistan;Danish Account Cambridgeshire;2022-11-20T14:18:19;2022-11-20T15:39:22;false
7;Product str;markets cyan;Account Afghani;Licensed Generic Loan;monitor;2022-11-20T11:02:52;2022-11-20T04:07:49;true
8;deposit gen;deposit Identity Dynamic;withdrawal leading-edge;primary input;model Cotton Jersey;2022-11-20T20:27:26;2022-11-20T19:25:47;true
9;Borders Rub;regional;deploy Chief;multi-byte cross-platform Auto;Carolina Quality Guinea;2022-11-20T01:05:29;2022-11-20T13:16:20;true
10;USB action-;evolve Versatile Synergistic;Supervisor relationships Jordan;Tuna;navigating;2022-11-20T06:29:13;2022-11-20T18:07:00;true
