id;uid;code;name;shortname;description;created;updated;inactive
1;territory;EXE National;Technician mindshare;Money;National maroon neural;2022-11-20T10:47:34;2022-11-20T20:23:34;true
2;clear-think;infrastructures Chair;Kenya;Rubber;Sausages applications;2022-11-20T08:52:27;2022-11-20T16:59:30;true
3;Refined sol;Fresh;purple matrix Missouri;Intelligent Bahamas Facilitator;efficient archive Bridge;2022-11-20T16:03:03;2022-11-20T16:35:03;true
4;Concrete Sh;SQL;reboot sensor CSS;Regional;Bedfordshire Handmade content-based;2022-11-20T01:09:21;2022-11-20T09:09:49;true
5;Public-key ;back-end Slovenia withdrawal;interactive;hierarchy purple;mission-critical;2022-11-20T00:36:34;2022-11-19T22:39:08;false
6;generating ;system;Liaison;Licensed;Games;2022-11-20T17:36:06;2022-11-20T12:12:28;true
7;dynamic mat;maroon Checking;Cambridgeshire cross-platform indexing;compress enterprise Mouse;Soap Proactive Towels;2022-11-20T07:57:38;2022-11-19T23:19:12;true
8;Handmade De;withdrawal Producer;policy purple leading-edge;enable;B2C auxiliary Specialist;2022-11-20T17:31:46;2022-11-20T02:51:45;true
9;Networked G;Rubber multi-byte Up-sized;productize;Gorgeous Reactive;Shoes Steel;2022-11-20T16:36:07;2022-11-20T12:24:13;true
10;SAS Gorgeou;Ergonomic India;Tactics;of auxiliary Hill;Loan;2022-11-19T23:32:40;2022-11-20T03:34:14;true
