id;uid;code;name;uuid;created;updated;activefrom;activeto;inactive
1;Kids AI hac;Optimization index;Keyboard Web;af793fd6-3f90-424a-8cbb-8ab496e0d7de;2022-11-20T00:00:22;2022-11-20T10:08:10;2022-11-20T16:42:36;2022-11-20T11:13:08;false
2;transparent;Avon;cross-platform;8b9f0405-bf83-4edf-b544-e096eeaa39aa;2022-11-20T06:05:52;2022-11-20T04:29:59;2022-11-20T14:34:50;2022-11-20T00:50:14;false
3;RSS;Chips;circuit invoice Shoal;d063fd08-2afc-41dd-acdd-582109ef1ff2;2022-11-20T13:35:23;2022-11-19T21:32:30;2022-11-20T11:08:12;2022-11-20T02:49:01;true
4;ubiquitous;Supervisor Metal Rica;Pants IB;095cd6c7-e4d7-43c7-97d1-307e5036e52e;2022-11-19T23:29:19;2022-11-20T02:22:15;2022-11-20T16:41:21;2022-11-20T12:58:05;true
5;withdrawal;Global Account Functionality;stable;8b41d10d-af61-4423-a392-d409337eb21e;2022-11-20T11:26:25;2022-11-19T21:31:51;2022-11-20T02:33:31;2022-11-20T01:23:40;true
6;SMTP;Loan Spring;navigate Games;84131def-8e23-4465-90f1-bf3040bdf603;2022-11-20T08:42:55;2022-11-20T02:27:05;2022-11-20T15:12:47;2022-11-20T16:16:06;true
7;Garden;Fundamental Operations;Chief Forward;00c1216a-3a85-487b-9dcd-19392f0a137d;2022-11-20T02:47:13;2022-11-20T00:43:22;2022-11-20T15:07:35;2022-11-20T12:18:32;true
8;application;architecture Generic TCP;utilisation;2fc15615-441b-4204-8805-46878ff39174;2022-11-20T11:57:17;2022-11-20T15:07:38;2022-11-20T10:29:47;2022-11-20T04:51:02;true
9;Officer opt;payment;bandwidth Loan Customer;93431418-1ff0-4770-b8f6-7acedd0e6918;2022-11-20T05:17:36;2022-11-20T08:49:47;2022-11-20T00:49:28;2022-11-20T00:22:02;true
10;Quality Mas;Avon hacking;Rupee;e3eb9c32-0267-49a2-ad9a-d5e1bf6c70bc;2022-11-20T08:36:41;2022-11-20T10:18:38;2022-11-20T12:16:27;2022-11-20T16:14:13;false
