id;uid;uuid;code;created;updated;createdatclient;lastupdatedatclient;lastsynchronized;featuretype;coordinates;potentialduplicate;deleted;storedby;inactive;organisationunitid;trackedentitytypeid
1;turquoise;e1c46d90-2790-4dd0-8f9b-34ad82a3a342;Camp circuit;2022-11-20T10:38:35;2022-11-20T06:46:54;2022-11-20T03:03:15;2022-11-20T07:23:39;2022-11-20T18:21:11;SYMBOL;Small alarm (E.M.U.-6);true;false;Borders;true;1;1
2;data-wareho;8f5b7be9-30e3-4c2a-b8ac-712d50d41233;Granite Avon;2022-11-20T04:34:41;2022-11-20T15:32:27;2022-11-20T03:14:15;2022-11-20T16:24:31;2022-11-20T04:20:24;POINT;Greece;false;false;efficient;true;2;2
3;Bacon copyi;e6167c65-9574-4d4e-8cdb-c017dae80dee;frame;2022-11-20T12:04:56;2022-11-20T17:29:07;2022-11-20T01:56:44;2022-11-20T08:30:42;2022-11-20T15:13:16;MULTI_POLYGON;compelling payment Table;true;true;SAS maroon;true;3;3
4;Unbranded;ad68055c-7038-43e8-8eac-da0406ab4003;purple HTTP;2022-11-20T05:15:17;2022-11-20T07:43:11;2022-11-19T23:53:59;2022-11-20T15:04:54;2022-11-20T16:42:18;POLYGON;bandwidth;false;true;Outdoors Freeway Cotton;false;4;4
5;Ergonomic I;89548fd3-3f05-44ab-ae37-8a818b6ee9f1;maroon;2022-11-20T05:42:19;2022-11-20T09:49:37;2022-11-20T11:18:03;2022-11-20T16:30:43;2022-11-20T15:57:45;POINT;Bedfordshire District;false;false;strategic Frozen wireless;false;5;5
6;disintermed;57cf5bd3-b9cc-44e8-a481-d26fbe650345;Pound Agent CSS;2022-11-19T23:00:06;2022-11-19T23:20:52;2022-11-19T22:18:16;2022-11-20T06:08:32;2022-11-20T11:31:47;POINT;Congo;true;true;input;false;6;6
7;Bedfordshir;9a52e8e3-d0a3-4af2-b6ba-5113de89a8b6;Representative Concrete Division;2022-11-20T05:59:08;2022-11-20T15:31:34;2022-11-20T08:16:13;2022-11-20T09:01:52;2022-11-20T16:10:32;MULTI_POLYGON;quantifying;true;true;GB override;false;7;7
8;Account;3fd76ee2-5126-4341-ae93-ef4d0905dbd3;Technician;2022-11-20T10:36:04;2022-11-20T09:17:29;2022-11-20T09:02:41;2022-11-20T00:01:16;2022-11-20T08:03:53;SYMBOL;HTTP;true;true;Granite Chair product;false;8;8
9;Timor-Leste;a2865a32-8bb5-40b9-a608-621ab0ef8c8b;Right-sized Rubber Outdoors;2022-11-19T20:51:58;2022-11-20T13:50:55;2022-11-20T19:26:33;2022-11-20T04:59:06;2022-11-20T14:49:56;POINT;system end-to-end;true;true;Hat;true;9;9
10;Frozen;c449a203-e684-4cad-a717-cf2b55c702b1;Computers Awesome Auto;2022-11-20T09:33:22;2022-11-20T06:17:51;2022-11-20T05:10:20;2022-11-20T01:25:04;2022-11-20T19:35:30;POINT;Sausages Unbranded;false;false;program Gourde;true;10;10
