id;uid;code;created;updated;displayinlist;mandatory;searchable;trackedentityattributeid
1;port quanti;Ball XML reboot;2022-11-20T17:29:49;2022-11-20T17:54:12;false;false;false;1
2;SSL;Security Idaho content;2022-11-20T01:41:54;2022-11-19T23:24:28;false;true;true;2
3;Object-base;intuitive schemas;2022-11-20T12:44:41;2022-11-19T23:02:04;true;true;false;3
4;well-modula;Colorado methodical radical;2022-11-20T03:59:42;2022-11-20T05:32:01;false;true;false;4
5;Burkina COM;primary;2022-11-20T20:26:01;2022-11-20T17:59:41;false;false;true;5
6;Interaction;Chair Progressive;2022-11-20T01:55:25;2022-11-20T18:23:12;true;false;false;6
7;Serbia bran;De-engineered Pants;2022-11-20T02:46:51;2022-11-20T18:52:24;false;false;true;7
8;Forward Sav;Car;2022-11-20T19:50:41;2022-11-20T14:06:17;false;false;true;8
9;user-centri;Chief Cotton Cotton;2022-11-20T20:33:20;2022-11-20T02:15:32;true;false;false;9
10;Account int;multi-byte interactive auxiliary;2022-11-20T04:54:03;2022-11-20T02:36:43;false;false;true;10
