id;uid;code;name;description;created;updated;inactive
1;Berkshire a;Infrastructure Cotton incentivize;Vermont back-end virtual;white South Indiana;2022-11-20T09:45:19;2022-11-20T15:07:02;true
2;Mount Avon ;Sports Cambridgeshire;ubiquitous Run intelligence;analyzing;2022-11-20T00:29:55;2022-11-20T00:53:19;false
3;Gorgeous pa;front-end proactive;Rue invoice Mobility;encompassing composite;2022-11-20T13:10:41;2022-11-20T04:00:07;false
4;Home;paradigms sensor;Security;District;2022-11-20T19:10:09;2022-11-20T00:35:22;true
5;aggregate H;calculate;open-source Libyan synergistic;Officer Avenue;2022-11-20T18:15:56;2022-11-20T04:42:05;true
6;Brand conne;bandwidth;IB Assurance;reboot parallelism portals;2022-11-20T07:09:40;2022-11-19T21:58:21;false
7;Bedfordshir;Lithuanian Bedfordshire;digital Identity iterate;Car;2022-11-20T12:51:00;2022-11-20T20:19:55;true
8;bandwidth B;Factors bluetooth compress;CSS solid;lime;2022-11-19T21:10:50;2022-11-20T14:55:08;true
9;implementat;Sahara Hat Orchestrator;ADP fuchsia analyzer;calculate Gorgeous;2022-11-20T01:26:12;2022-11-20T08:40:01;true
10;Frozen fuch;Account;Eritrea deposit;Latvian Pound Steel;2022-11-20T19:15:44;2022-11-20T15:58:25;false
