id;uid;code;name;uuid;created;updated;activefrom;activeto;inactive
1;Ports;Up-sized SQL Bedfordshire;Director cultivate Ethiopia;9fe12c0e-d882-4c31-8f61-de9d9e9f7b7e;2022-11-20T18:00:33;2022-11-19T23:15:07;2022-11-19T22:03:35;2022-11-20T09:26:21;false
2;infrastruct;Configurable mobile;matrix Equatorial Tennessee;6b76bbfc-574e-493e-a7a4-b7ca44e4f452;2022-11-20T03:58:30;2022-11-20T02:57:10;2022-11-20T13:27:22;2022-11-20T05:07:24;true
3;transmittin;sexy matrices;Avon;8c0bf027-fdff-4f06-a2bd-494e84b3bcec;2022-11-20T20:01:28;2022-11-20T09:49:32;2022-11-20T11:34:38;2022-11-20T00:22:41;true
4;Rustic Croa;Indiana;Concrete wireless;869f124d-b7e5-417f-8b1c-ac3ce4f70470;2022-11-20T20:06:50;2022-11-20T04:38:25;2022-11-20T05:11:47;2022-11-20T19:41:38;false
5;Cotton;transmitting recontextualize architecture;ROI Response;a59ab215-0c3e-4c19-8109-74d69f5f3be4;2022-11-20T19:01:30;2022-11-20T18:54:40;2022-11-20T17:49:22;2022-11-20T19:45:36;true
6;Industrial ;Plastic;global;935869e7-91e2-4259-b523-87518853db05;2022-11-20T10:13:54;2022-11-20T06:03:09;2022-11-19T21:17:47;2022-11-20T12:03:03;false
7;Integration;Dakota;Fall;38b9c0e9-51ec-4cc7-a241-0290561ba840;2022-11-20T03:25:31;2022-11-20T05:35:32;2022-11-20T19:17:34;2022-11-20T07:47:44;false
8;methodologi;Borders;Cotton;892ba460-ba29-4503-ac59-ffe6733f2189;2022-11-20T05:04:30;2022-11-20T00:01:00;2022-11-20T13:10:16;2022-11-20T20:15:18;false
9;stable driv;cross-platform;Sri;84721bd1-0469-4e81-81c0-9db17ee6fc43;2022-11-20T15:42:44;2022-11-20T05:47:22;2022-11-20T16:44:04;2022-11-20T06:21:52;false
10;Cotton e-se;wireless Grocery;Serbian transmitting Ports;f0f7033f-6da5-48cf-8e86-341869da671a;2022-11-20T13:54:25;2022-11-20T13:04:01;2022-11-19T21:19:32;2022-11-20T03:32:48;true
